origin_crs,dest_crs,single_fare_gbp,ticket_code
MLW,PAD,19.0,SDS
DID,LON,47.2,SDS
CHO,LON,35.2,SDS
GOR,LON,35.2,SDS
PAN,LON,35.2,SDS
BCF,LON,16.0,SDS
GER,LON,12.3,SDS
DNM,LON,10.1,SDS
HDM,LON,27.4,SDS
HWY,LON,18.0,SDS
PRR,LON,20.9,SDS
SDR,LON,19.7,SDS
SRU,LON,8.5,SDS
DGC,LON,10.7,SDS
SRG,LON,13.6,SDS
PEW,LON,76.4,SDS
LTK,LON,21.7,SDS
MRS,LON,21.4,SDS
BDW,LON,49.4,SDS
NRC,LON,41.3,SDS
HGD,LON,47.2,SDS
KIT,LON,44.8,SDS
NBY,LON,44.0,SDS
,PAD,14.7,SDS
,SRA,36.0,SDS
KPA,SRA,7.0,SDS
KPA,VIC,4.5,SDS
KPA,WAT,4.5,SDS
CBP,PAD,7.0,SDS
DRG,PAD,7.0,SDS
BIT,LON,47.2,SDS
CUM,LON,47.2,SDS
APF,LON,47.2,SDS
ISP,LON,41.6,SDS
OXF,LON,47.2,SDS
RAD,LON,47.2,SDS
OXP,LON,41.6,SDS
GFD,PAD,7.0,SDS
SGN,PAD,7.0,SDS
FZP,PAD,16.6,SDS
AMT,LON,36.8,SDS
HOT,LON,34.8,SDS
HOT,PAD,21.5,SDS
MAI,PAD,16.4,SDS
RDG,LON,23.1,OR2
RDG,STP,23.6,OR2
SHI,LON,34.8,SDS
SHI,PAD,20.2,SDS
TAP,PAD,14.1,SDS
THA,LON,38.3,SDS
THE,LON,34.8,SDS
TLH,LON,35.2,SDS
TWY,LON,34.8,SDS
TWY,PAD,19.0,SDS
WGV,LON,31.2,SDS
WGV,PAD,21.7,SDS
MDG,LON,36.8,SDS
RDW,LON,23.1,OR2
RDW,STP,23.5,OR2
IVR,PAD,9.6,SDS
LNY,PAD,10.6,SDS
SLO,PAD,12.6,SDS
WDT,PAD,9.4,SDS
WNC,PAD,13.4,SDS
BNM,PAD,13.4,SDS
CMS,KGX,4.0,TKR
CMS,LON,4.0,TKR
CMS,LST,29.4,SDS
CMS,SRA,29.4,SDS
HAY,PAD,8.5,SDS
STL,PAD,7.0,SDS
WEA,PAD,5.9,SDS
EAL,PAD,5.9,SDS
HAN,PAD,7.0,SDS
HYD,LON,47.2,SDS
TAC,LON,47.2,SDS
AVN,LON,138.7,SDS
CFN,LON,138.7,SDS
MTP,LON,138.7,SDS
SVB,LON,138.7,SDS
SHH,LON,138.7,SDS
PWY,LON,55.2,OR2
PIL,LON,55.2,OR2
OLF,LON,55.2,OR2
LWH,LON,55.2,OR2
BPW,LON,138.7,SDS
BRI,LON,55.2,OR2
FIT,LON,55.2,OR2
KYN,LON,55.2,OR2
CDU,LON,113.4,SDS
BMT,LON,55.2,OR2
PSN,LON,55.2,OR2
RDA,LON,138.7,SDS
SRD,LON,55.2,OR2
SAR,LON,138.7,SDS
SML,LON,138.7,SDS
AVF,LON,55.2,OR2
CPM,LON,113.4,SDS
BTH,LON,55.2,OR2
HIG,LON,149.5,SDS
KEM,LON,97.3,SDS
BBZ,LON,140.2,SDS
SWI,LON,87.9,SDS
BOA,LON,55.2,OR2
FFD,LON,55.2,OR2
MKM,LON,112.5,SDS
TRO,LON,55.2,OR2
YAE,LON,49.3,SDS
WNM,LON,147.1,SDS
NLS,LON,143.2,SDS
WOR,LON,147.1,SDS
WSM,LON,147.1,SDS
YAT,LON,143.2,SDS
DWL,LON,104.8,OR2
DWW,LON,104.8,OR2
EXD,LON,93.5,OR2
SCS,LON,104.8,OR2
EXT,LON,93.5,OR2
POL,LON,149.5,SDS
NTA,LON,120.4,OR2
PGN,LON,120.4,OR2
TGM,LON,104.8,OR2
TRR,LON,120.4,OR2
TQY,LON,120.4,OR2
KIH,LON,92.8,SDS
BWT,LON,149.5,SDS
TAU,LON,149.5,SDS
TVP,LON,149.5,SDS
LTS,LON,159.5,SDS
PNM,LON,159.5,SDS
BOD,LON,149.5,SDS
BGL,LON,159.5,SDS
CBN,LON,159.5,SDS
FAL,LON,159.5,SDS
HYL,LON,159.5,SDS
LOS,LON,149.5,SDS
LUX,LON,159.5,SDS
NQY,LON,159.5,SDS
PAR,LON,159.5,SDS
PYN,LON,159.5,SDS
PNZ,LON,159.5,SDS
PRW,LON,159.5,SDS
RED,LON,159.5,SDS
QUI,LON,159.5,SDS
ROC,LON,159.5,SDS
SAU,LON,159.5,SDS
SCR,LON,159.5,SDS
SER,LON,159.5,SDS
SIV,LON,159.5,SDS
LEL,LON,159.5,SDS
TRU,LON,159.5,SDS
CBB,LON,159.5,SDS
BAS,LON,149.5,SDS
BFE,LON,149.5,SDS
IVY,LON,133.6,OR2
TOT,LON,120.4,OR2
CSK,LON,149.5,SDS
GSL,LON,149.5,SDS
CAU,LON,149.5,SDS
COE,LON,149.5,SDS
KEY,LON,149.5,SDS
SKN,LON,149.5,SDS
LSK,LON,149.5,SDS
LOO,LON,149.5,SDS
MEN,LON,149.5,SDS
DPT,LON,149.5,SDS
PLY,LON,133.6,OR2
SDP,LON,149.5,SDS
SGM,LON,149.5,SDS
STS,LON,149.5,SDS
DOC,LON,149.5,SDS
SBF,LON,149.5,SDS
FMT,LON,159.5,SDS
SBV,LON,149.5,SDS
AGV,LON,147.1,SDS
HFD,LON,68.2,SDS
LEO,LON,147.1,SDS
EBB,LON,147.1,SDS
CRV,LON,147.1,SDS
LUD,LON,147.1,SDS
LTN,BFR,4.0,TKR
LTN,LBG,4.0,TKR
LTN,STP,4.0,TKR
NWP,LON,147.1,SDS
STJ,LON,147.1,SDS
CDT,LON,147.1,SDS
CWM,LON,147.1,SDS
PPL,LON,147.1,SDS
,LON,149.5,SDS
CPW,LON,146.3,SDS
EKB,KGX,95.0,SDS
CIM,LON,149.5,SDS
EBK,LON,149.5,SDS
WNG,LON,149.5,SDS
DCT,LON,149.5,SDS
ACY,LON,149.5,SDS
BRY,LON,149.5,SDS
BYD,LON,149.5,SDS
BYI,LON,149.5,SDS
BGN,LON,149.5,SDS
CAD,LON,149.5,SDS
CPH,LON,149.5,SDS
ABE,LON,149.5,SDS
CDB,LON,149.5,SDS
TGS,LON,149.5,SDS
YNW,LON,149.5,SDS
CYS,LON,149.5,SDS
CGN,LON,149.5,SDS
DNS,LON,149.5,SDS
GTN,LON,149.5,SDS
LLN,LON,149.5,SDS
HHL,LON,149.5,SDS
LLS,LON,149.5,SDS
PYC,LON,149.5,SDS
PCD,LON,149.5,SDS
LLY,LON,149.5,SDS
LVT,LON,149.5,SDS
MER,LON,149.5,SDS
MEV,LON,149.5,SDS
MTA,LON,149.5,SDS
DGL,LON,149.5,SDS
FER,LON,149.5,SDS
PEN,LON,149.5,SDS
POR,LON,149.5,SDS
YSR,LON,149.5,SDS
FRW,LON,149.5,SDS
RDR,LON,149.5,SDS
RIA,LON,149.5,SDS
TAF,LON,149.5,SDS
TNP,LON,149.5,SDS
TRE,LON,149.5,SDS
TRF,LON,149.5,SDS
TRH,LON,149.5,SDS
TRB,LON,149.5,SDS
TRY,LON,149.5,SDS
NNP,LON,149.5,SDS
WHT,LON,149.5,SDS
TPN,LON,149.5,SDS
CDF,LON,149.5,SDS
CDQ,LON,149.5,SDS
DMG,LON,149.5,SDS
PPD,LON,149.5,SDS
COY,LON,149.5,SDS
RHI,LON,149.5,SDS
BCG,LON,149.5,SDS
HLL,LON,149.5,SDS
PTB,LON,149.5,SDS
GMG,LON,149.5,SDS
MEW,LON,149.5,SDS
MST,LON,149.5,SDS
WMI,LON,149.5,SDS
CMH,LON,149.5,SDS
ABA,LON,149.5,SDS
PER,LON,149.5,SDS
QYD,LON,149.5,SDS
BGD,LON,149.5,SDS
BHD,LON,149.5,SDS
LNB,LON,149.5,SDS
PGM,LON,149.5,SDS
GFF,LON,149.5,SDS
PLT,LON,149.5,SDS
TIR,LON,149.5,SDS
YSM,LON,149.5,SDS
RHY,LON,149.5,SDS
HNG,LON,149.5,SDS
,KGX,108.0,SDS
LLV,LON,149.5,SDS
LLG,LON,149.5,SDS
LNR,LON,149.5,SDS
FFA,LON,149.5,SDS
CMN,LON,149.5,SDS
CLR,LON,164.5,SDS
CUW,LON,164.5,SDS
FYS,LON,149.5,SDS
FGH,LON,164.5,SDS
HVF,LON,164.5,SDS
JOH,LON,164.5,SDS
KGT,LON,164.5,SDS
LAM,LON,164.5,SDS
MRB,LON,164.5,SDS
MFH,LON,164.5,SDS
NAR,LON,164.5,SDS
PMB,LON,164.5,SDS
PMD,LON,164.5,SDS
SDF,LON,164.5,SDS
TEN,LON,164.5,SDS
WTL,LON,164.5,SDS
BYE,LON,149.5,SDS
PNA,LON,164.5,SDS
,BFR,16.2,SDS
,LBG,16.2,SDS
,LON,4.0,TKR
GWN,LON,149.5,SDS
KWL,LON,149.5,SDS
LLE,LON,149.5,SDS
LLH,LON,149.5,SDS
PBY,LON,149.5,SDS
CYN,LON,149.5,SDS
GTH,LON,149.5,SDS
,KGX,94.0,SOS
,LON,135.8,SOS
SUG,LON,149.5,SDS
,LON,4.0,TKR
,VIC,4.0,TKR
LLM,LON,149.5,SDS
LNW,LON,149.5,SDS
BME,LON,147.1,SDS
,LON,92.8,SDS
PTA,LON,149.5,SDS
BUK,LON,147.1,SDS
PYL,LON,149.5,SDS
BAJ,LON,149.5,SDS
BNF,LON,149.5,SDS
DOL,LON,149.5,SDS
HPT,LON,147.1,SDS
KNI,LON,147.1,SDS
LGO,LON,149.5,SDS
NTH,LON,149.5,SDS
SKE,LON,149.5,SDS
SWA,LON,149.5,SDS
LAS,LON,149.5,SDS
LLT,LON,149.5,SDS
LLO,LON,149.5,SDS
KNU,LON,147.1,SDS
AMF,LON,149.5,SDS
LLI,LON,149.5,SDS
LLL,LON,149.5,SDS
PTF,LON,149.5,SDS
PTD,LON,149.5,SDS
PNY,LON,149.5,SDS
SRR,LON,149.5,SDS
TDU,LON,149.5,SDS
TRD,LON,149.5,SDS
,LON,42.7,SDS
,STP,42.8,SDS
,LON,82.6,OR2
,KGX,97.0,SDS
BHR,LON,149.5,SDS
,LON,46.2,SDS
,STP,46.3,SDS
,EUS,292.5,FOR
,KGX,103.0,SDS
,LON,205.5,SOS
,LON,179.0,SOS
CTT,LON,147.1,SDS
,LON,27.6,SDS
,STP,27.7,SDS
,LON,152.2,SOS
SHR,LON,98.4,SDS
,LON,4.0,TKR
,STP,50.0,OR2
,LON,116.6,SOS
,KGX,103.0,SDS
WLP,LON,139.0,SOS
CRK,LON,102.1,SDS
,LON,179.0,SOS
GOB,LON,102.1,SDS
,LON,182.0,SOS
,EUS,65.4,SOS
,LON,60.3,SDS
RUA,LON,102.1,SDS
WRX,LON,102.1,SDS
